"study","treat1","treat2","effect","se"
"AFASAK-I 1989","VKAs","Aspirin",-0.593940530476497,0.424032540937235
"AFASAK-I 1989","VKAs","Placebo/Control",-0.775210009319648,0.412267812051279
"AFASAK-I 1989","Aspirin","Placebo/Control",-0.181269478843151,0.348441032428531
"BAATAF 1990","VKAs","Placebo/Control",-1.53567176219449,0.648204677844761
"CAFA 1991","VKAs","Placebo/Control",-0.399955452297195,0.53739849753301
"SPAF-I 1991","VKAs","Aspirin",-0.137783702363053,0.41654663737703
"SPAF-I 1991","VKAs","Placebo/Control",-0.701194561267027,0.394539173648751
"SPAF-I 1991","Aspirin","Placebo/Control",-0.563410858903974,0.263194358895742
"SPINAF 1992","VKAs","Placebo/Control",-1.23403582944467,0.440931065249011
"EAFT 1993","VKAs","Aspirin",-1.04887230647571,0.26345064453546
"EAFT 1993","VKAs","Placebo/Control",-1.16412689577874,0.263555273356124
"EAFT 1993","Aspirin","Placebo/Control",-0.115254589303025,0.170621002983205
"SPAF-II 1994","VKAs","Aspirin",-0.0996245675355454,0.231033775706605
"AFASAK-II 1998","VKAs","Aspirin",0.105360515657826,0.472875365303704
"PATAF 1999","VKAs","Aspirin",-1.15072828980712,0.624473684117179
"LASAF 1999","Aspirin","Placebo/Control",-0.253584576815445,0.741611741403799
"ACTIVE (W) 2006","VKAs","Aspirin+Clopidogtrel",-0.551156050652521,0.166012661927763
"JAST 2006","Aspirin","Placebo/Control",-0.0140895566541258,0.345204277373686
"ACTIVE (A) 2006","Aspirin+Clopidogtrel","Aspirin",-0.35069094335947,0.0800838927681122
"Chinese/ATAFS 2006","VKAs","Aspirin",-0.559254972488607,0.41933642135684
"BAFTA 2007","VKAs","Aspirin",-0.796951578416889,0.273414011465382
"RE-LY 2009","Dabigatran 110mg","Dabigatran 150mg",0.356290280474535,0.119932249701535
"RE-LY 2009","Dabigatran 110mg","VKAs",-0.0798907962424641,0.107683773986572
"RE-LY 2009","Dabigatran 150mg","VKAs",-0.436181076716999,0.118073713913481
"ROCKET 2011","Rivaroxaban","VKAs",-0.250454712141423,0.0988780851239251
"ARISTOTLE 2011","Apixaban","VKAs",-0.240362522582013,0.0966109825405326
"AVERROES 2011","Apixaban","Aspirin",-0.788955249181,0.175119170199268
