"study","treat1","treat2","effect","se"
"1","TIO-SMI","Placebo",0.327500384362457,0.215805435369761
"2","TIO-SMI","Placebo",0.654165387489033,0.376833363529215
"3","TIO-HH","Placebo",-0.079639997957012,0.0763347598042401
"4","TIO-HH","Placebo",-0.623394141799596,0.712283918574329
"6","TIO-HH","Placebo",0.64367170573347,0.56716423233812
"7","TIO-HH","Placebo",-0.649975008694737,1.23644263489868
"8","TIO-HH","Placebo",-0.115440446975483,0.521418807002179
"9","TIO-HH","Placebo",1.08009324090087,1.64429525308107
"10","TIO-HH","Placebo",0.151077754586796,0.316738491604145
"11","TIO-HH","Placebo",-0.560537022454744,0.539241794366914
"12","TIO-HH","LABA",-0.212202546112401,0.170289417822866
"13","TIO-HH","LABA",-1.79675947964476,1.08243553984376
"13","TIO-HH","Placebo",-1.62451357483955,1.09773649440822
"13","LABA","Placebo",0.172245904805213,0.609675797371396
"14","TIO-HH","LABA-ICS",0.608886836942205,0.277668133096303
"15","LABA","Placebo",0.191952449854916,0.610808776375384
"16","LABA","Placebo",1.24703229378638,1.51413265639092
"17","LABA","Placebo",-0.668454567969574,1.22877095049504
"18","ICS","Placebo",0,0.645285551227479
"19","ICS","Placebo",2.00018703590975,1.51698041616088
"20","ICS","Placebo",2.21382246874526,1.49626898508722
"21","ICS","Placebo",-0.132424585649332,0.254724570917959
"22","ICS","Placebo",-0.212023500270132,0.477678995686874
"23","ICS","Placebo",-0.230261019083074,0.681347969634032
"24","ICS","Placebo",-1.64515599503618,1.55379865849227
"26","LABA-ICS","LABA",1.88335086168637,1.46973924612796
"27","LABA-ICS","LABA",-0.387675566544666,0.649422559600778
"28","LABA-ICS","LABA",0.685385175224456,0.710756443646508
"29","LABA-ICS","LABA",-0.296311794211642,0.507996362366365
"30","LABA-ICS","LABA",-0.731298946524322,0.87229762646613
"31","LABA-ICS","LABA",-0.336472236621213,0.604851757544168
"32","LABA-ICS","LABA",-0.13251254383542,0.629216314733485
"32","LABA-ICS","Placebo",-0.161440180741599,0.629263813442095
"32","LABA","Placebo",-0.0289276369061794,0.710023306615002
"33","LABA-ICS","LABA",1.10624591352318,1.63766115684941
"33","LABA-ICS","Placebo",1.0595448204772,1.63777215430161
"34","LABA-ICS","Placebo",0.921354033830702,1.55245550708826
"35","LABA-ICS","ICS",0.131216663198245,0.804806476081412
"35","LABA-ICS","LABA",0.860338946216468,1.07125348502778
"35","LABA-ICS","Placebo",0.915335621963917,1.07116522623026
"35","LABA","ICS",-0.729122283018223,1.22767934435975
"35","LABA","Placebo",0.0549966757474488,1.41664323331951
"35","ICS","Placebo",0.784118958765672,1.22760233189268
"36","LABA-ICS","ICS",-0.277996665361889,0.103687910986831
"36","LABA-ICS","LABA",-0.0722158413023674,0.107454350247633
"36","LABA-ICS","Placebo",-0.2097372754849,0.104933619028117
"36","LABA","ICS",-0.205780824059521,0.102258150634988
"36","LABA","Placebo",-0.137521434182532,0.103521064952081
"36","ICS","Placebo",0.0682593898769892,0.0996060057751795
"38","LABA-ICS","ICS",-0.36419377635276,0.915880854635108
"38","LABA-ICS","LABA",-0.369599194919668,0.915888830152246
"38","LABA-ICS","Placebo",-1.25839678621362,0.805289383003557
"38","LABA","ICS",0.00540541856690798,0.819800043642775
"38","LABA","Placebo",-0.888797591293956,0.694064378892772
"38","ICS","Placebo",-0.894203009860864,0.694053854349427
"39","LABA-ICS","ICS",-0.174321514126878,0.612100314220402
"39","LABA-ICS","LABA",-0.984026615335458,0.533920754967499
"39","LABA-ICS","Placebo",0.00800004266707637,0.638748877104334
"39","LABA","ICS",0.809705101208579,0.501703138060469
"39","LABA","Placebo",0.992026658002534,0.53389078665309
"39","ICS","Placebo",0.182321556793955,0.612074173737715
"40","LABA-ICS","ICS",0.136744048297635,0.613839155533785
"40","LABA-ICS","LABA",-0.035268138837458,0.586013680310489
"40","LABA-ICS","Placebo",-0.435618146278852,0.536498195377775
"40","LABA","ICS",0.172012187135093,0.613983891437822
"40","LABA","Placebo",-0.400350007441394,0.536663790209764
"40","ICS","Placebo",-0.572362194576487,0.56691665972848
"41","LABA-ICS","Placebo",-1.87029274265274,1.51570406830725
"41","LABA","Placebo",-1.83961549040569,1.5157661614529
"41","ICS","Placebo",-1.88825729762804,1.51566858010303
