"study","treat1","treat2","effect","se"
"2 DART","1","2",0.0220221210762465,0.133635947750345
"10 London Corn /Olive","1","2",-1.6636325628221,1.09544511501033
"10 London Corn /Olive","1","3",-1.23608327929671,1.15470053837925
"11 London Low Fat","1","2",0.131228870919565,0.302765035409749
"14 Minnesota Coronary","1","2",-0.0586354084354429,0.0880325518400736
"15 MRC Soya","1","2",0.150905803380069,0.260715074804689
"18 Oslo Diet-Heart","1","2",0.314422332254672,0.190310138242682
"22 STARS","1","2",1.13441029454389,1.15470053837925
"23 Sydney Diet-Heart","1","2",-0.405236875766651,0.247700043107205
"26 Veterans Administration","1","2",0.0451933445816597,0.106756001943244
"27 Veterans Diet & Skin CA","1","2",0.677017798630062,1.22474487139159
"10 London Corn /Olive","2","3",0.42754928352539,0.730296743340221
